type,start,end,duration,tCal,actCal,maxHR,avgHR,distance,speed
Running,2022-08-20 6:19,2022-08-20 7:27,1:08:25,871.35,754.64,155,143.21,8.01,7.02
Running,2022-08-21 6:39,2022-08-21 7:28,0:49:26,635.2,564.62,161,145.19,6.01,7.29
Traditional Strength Training,2022-08-21 8:06,2022-08-21 8:42,0:35:35,196.22,125.02,119,94.17,,
Running,2022-08-22 6:20,2022-08-22 6:58,0:37:45,570.72,495.92,179,156.42,5.01,7.96
Traditional Strength Training,2022-08-22 7:16,2022-08-22 7:42,0:25:23,181.35,127.41,139,109.57,,
Traditional Strength Training,2022-08-23 6:31,2022-08-23 7:11,0:40:23,202.62,145.16,124,86.12,,
Stair Climbing,2022-08-23 7:12,2022-08-23 7:58,0:45:50,621.01,535.4,153,143.21,,
Running,2022-08-24 6:25,2022-08-24 7:18,0:53:09,774.23,698.34,176,162.47,7.01,7.91
Traditional Strength Training,2022-08-25 5:35,2022-08-25 6:14,0:38:21,205.16,150.5,151,95.54,,
Stair Climbing,2022-08-25 6:15,2022-08-25 7:01,0:46:12,632.49,546.07,154,144.44,,
Running,2022-08-26 6:40,2022-08-26 6:58,0:18:06,219.38,193.45,148,136.42,2.01,6.64
High Intensity Interval Training,2022-08-26 7:00,2022-08-26 7:16,0:16:00,197.38,174.51,178,134.23,,
Running,2022-08-26 7:16,2022-08-26 7:34,0:18:02,241.76,215.77,161,148.2,2,6.66
Running,2022-08-27 5:51,2022-08-27 6:59,1:08:20,900.48,784.57,167,149.74,8.01,7.03
Running,2022-08-28 6:45,2022-08-28 7:20,0:34:43,430.78,381.07,154,143.04,4.01,6.92
Traditional Strength Training,2022-08-28 8:06,2022-08-28 8:37,0:31:08,175.28,110.15,116,89.34,,
Stair Climbing,2022-08-29 6:25,2022-08-29 6:55,0:30:11,349.6,306.6,140,127.78,,
Traditional Strength Training,2022-08-29 6:56,2022-08-29 7:29,0:33:20,182.6,116.84,121,92.29,,
Stair Climbing,2022-08-30 6:44,2022-08-30 7:15,0:30:25,361.36,317.99,145,131,,
Traditional Strength Training,2022-08-30 7:16,2022-08-30 7:46,0:30:34,171.39,107.85,123,97.34,,
Running,2022-08-31 6:07,2022-08-31 6:54,0:46:33,640.89,574.34,180,159.06,6.02,7.76
Stair Climbing,2022-09-01 6:49,2022-09-01 7:20,0:30:51,377.17,332.95,152,134.25,,
Traditional Strength Training,2022-09-01 7:21,2022-09-01 7:51,0:30:00,170.25,107.51,118,100.22,,
Running,2022-09-02 6:14,2022-09-02 6:23,0:08:50,107.02,94.27,143,131.89,1.01,6.84
High Intensity Interval Training,2022-09-02 6:25,2022-09-02 6:37,0:12:05,156.56,139.24,175,141.35,,
Running,2022-09-02 6:38,2022-09-02 6:48,0:09:55,127.97,113.69,154,143.48,1,6.08
Traditional Strength Training,2022-09-02 7:03,2022-09-02 7:32,0:29:16,177.67,116.85,129,106.15,,
Running,2022-09-03 5:58,2022-09-03 7:11,1:13:10,855.5,751.19,155,140.76,8,6.56
Running,2022-09-04 6:01,2022-09-04 7:12,1:11:03,912.09,810.77,160,145.69,8,6.76
Traditional Strength Training,2022-09-05 5:49,2022-09-05 6:40,0:50:15,282.46,210.73,153,98.7,,
Stair Climbing,2022-09-06 6:16,2022-09-06 7:01,0:45:08,569.82,505.53,153,141.48,,
Traditional Strength Training,2022-09-06 7:06,2022-09-06 7:30,0:24:19,141.02,87.36,113,99.98,,
Stair Climbing,2022-09-07 6:34,2022-09-07 7:04,0:30:19,370,327,150,137.36,,
Traditional Strength Training,2022-09-07 7:06,2022-09-07 7:34,0:28:55,180.81,120.16,136,103.72,,
Running,2022-09-08 6:40,2022-09-08 7:28,0:48:15,682.56,613.63,185,161.54,6.01,7.47
Stair Climbing,2022-09-09 6:13,2022-09-09 6:58,0:45:13,574.95,510.53,159,143.41,,
Traditional Strength Training,2022-09-09 7:02,2022-09-09 7:30,0:27:54,169.37,110.36,126,110.25,,
Running,2022-09-10 6:10,2022-09-10 7:32,1:21:44,1147,1030,170,159.83,10.02,7.35
Running,2022-09-11 6:25,2022-09-11 7:13,0:48:25,639.45,570.28,173,155,6.01,7.44
Traditional Strength Training,2022-09-11 7:33,2022-09-11 7:54,0:20:42,153.17,102.81,136,113.65,,
Stair Climbing,2022-09-12 6:12,2022-09-12 6:42,0:30:11,373.18,330.18,154,139.48,,
Traditional Strength Training,2022-09-12 6:43,2022-09-12 7:11,0:27:31,166.47,107.48,136,100.28,,
Traditional Strength Training,2022-09-13 6:36,2022-09-13 7:08,0:32:18,160.52,114.47,152,93.27,,
Stair Climbing,2022-09-13 7:10,2022-09-13 7:40,0:29:55,407.76,346.63,160,146.2,,
Walking,2022-09-13 18:51,2022-09-13 19:39,0:48:19,211.23,126.62,92,73.78,1.12,1.39
Traditional Strength Training,2022-09-14 6:23,2022-09-14 6:57,0:33:34,171.45,123.62,119,82.8,,
Stair Climbing,2022-09-14 6:58,2022-09-14 7:28,0:30:06,395.2,332.79,155,140.99,,
Running,2022-09-15 6:10,2022-09-15 7:21,1:11:54,854.6,752.07,158,145.53,8.02,6.69
Cycling,2022-09-16 6:19,2022-09-16 7:05,0:45:01,499.23,435.19,150,141.38,,
Traditional Strength Training,2022-09-16 7:08,2022-09-16 7:38,0:30:06,185.11,120.49,126,105.27,,
Running,2022-09-17 5:58,2022-09-17 7:08,1:10:17,978.77,859.93,175,151.63,8.01,6.83
Walking,2022-09-17 14:51,2022-09-17 15:15,0:23:35,120.23,86.32,103,86.93,1.03,2.63
Running,2022-09-18 6:07,2022-09-18 7:49,1:40:44,1364,1219,167,155.05,12.01,7.15
